Tank,Mass,Salinity,Acid.Conc,Dens.Funct,HCL.Bottle,pH35,pH3,Sample.Type
20140815_bowl2,99.58,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_bowl3,99.34,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_bowl4,99.36,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_bowl5,99.06,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_bowl6,99.97,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_bowl8,99.46,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_bowl9,98.34,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_bowl10,94,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_bowl11,99.74,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_bowl12,98.39,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_bowl14,99.04,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_bowl15,98.5,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_bowl16,98.11,35,0.099987,d2,Bottle 39,206.1,235.1,Bowl
20140815_Tank4,99.64,34.1,0.099987,d2,Bottle 39,206.1,235.1,Tank
20140815_Tank5,98.99,34.1,0.099987,d2,Bottle 39,206.1,235.1,Tank
20140828_CRM1,100.37,33.561,0.099987,d2,Bottle 39,206.1,235.1,CRM
20140828_CRM2,99.93,33.561,0.099987,d2,Bottle 39,207.7155,236.699,CRM
20140828_Tank4,99.43,34.2,0.099987,d2,Bottle 39,207.7155,236.699,Tank
20140828_Tank5,99.91,34.2,0.099987,d2,Bottle 39,207.7155,236.699,Tank
20140903_CRM1,100.24,35,0.099987,d2,Bottle 39,207.7155,236.699,CRM
20140903_CRM2,100.03,35,0.099987,d2,Bottle 39,207.6895,236.831,CRM
20140903_Tank4,100.26,33.7,0.099987,d2,Bottle 39,207.6895,236.831,Tank
20140903_Tank5,99.6,33.9,0.099987,d2,Bottle 39,207.6895,236.831,Tank
20140915_CRM1,99.4,35,0.099987,d2,Bottle 39,207.6895,236.831,CRM
20140915_CRM2,99.65,35,0.099987,d2,Bottle 39,207.395,236.47,CRM
20140915_Tank4,99.95,33.3,0.099987,d2,Bottle 39,207.395,236.47,Tank
20140915_Tank5,99.27,33.5,0.099987,d2,Bottle 39,207.395,236.47,Tank
20141014_CRM1,99.8,33.561,0.099987,d2,Bottle 39,,,CRM
20141014_CRM2,100.47,33.561,0.099987,d2,Bottle 39,,,CRM
20141014_Tank4,100.26,34.1,0.099987,d2,Bottle 39,,,Tank
20141014_Tank5,99.13,34.1,0.099987,d2,Bottle 39,,,Tank
20141022_CRM1,100.03,33.561,0.099987,d2,Bottle 39,,,CRM
20141022_CRM2,100.34,33.471,0.099987,d2,Bottle 39,,,CRM
20141022_CRM3,100.68,33.471,0.099987,d2,Bottle 39,,,CRM
20141022_CRM4,100.35,33.471,0.099987,d2,Bottle 39,,,CRM
20141022_Tank4,101.62,34,0.099987,d2,Bottle 39,,,Tank
20141022_Tank5,100.18,34,0.099987,d2,Bottle 39,,,Tank
20141114_CRM3,99.95,33.471,0.099987,d2,Bottle 39,207.395,236.47,CRM
20141114_Tank4,99.98,33.8,0.099987,d2,Bottle 39,200,230,Tank
20141114_Tank5,100,33.8,0.099987,d2,Bottle 39,200,230,Tank
20141201_CRM2,99.66,33.471,0.099987,d2,Bottle 39,200,230,CRM
20141201_Tank4,99.48,33,0.099987,d2,Bottle 39,200,230,Tank
20141201_Tank5,99.41,33,0.099987,d2,Bottle 39,200,230,Tank
20141218_CRM3,99.56,33.267,0.102458,d3,Bottle 39,200,230,CRM
20141218_Tank4,99.63,34.5,0.102458,d3,Bottle 28,200,230,Tank
20141218_Tank5,100,34.5,0.102458,d3,Bottle 28,200,230,Tank
