"Sample.ID","Mass","TA.Mes"
"20140815_bowl16.csv","20140815_bowl16","98.11","2173.30777847522"
"20140815_bowl2.csv","20140815_bowl2","99.58","2162.76967057659"
"20140815_bowl3.csv","20140815_bowl3","99.34","2134.43407017511"
"20140815_bowl4.csv","20140815_bowl4","99.36","2163.07221872769"
"20140815_bowl5.csv","20140815_bowl5","99.06","2144.53652174387"
"20140815_bowl6.csv","20140815_bowl6","99.97","2158.4588632829"
"20140815_bowl8.csv","20140815_bowl8","99.46","2178.38064288767"
"20140815_bowl9.csv","20140815_bowl9","98.34","2144.10134742317"
"20140815_CRM1.csv","20140815_CRM1","99.82","2198.73854086264"
"20140815_high_header.csv","20140815_high_header","98.38","2164.73500017046"
"20140815_Tank4.csv","20140815_Tank4","99.64","2157.2248450799"
"20140815_Tank5.csv","20140815_Tank5","98.99","2144.83211702254"
"20140828_CRM1.csv","20140828_CRM1","100.37","2202.18655604508"
"20140828_CRM2.csv","20140828_CRM2","99.93","2198.10850549229"
"20140828_Tank4.csv","20140828_Tank4","99.43","2189.55864113777"
"20140828_Tank5.csv","20140828_Tank5","99.91","2172.54730176902"
"20140903_CRM1.csv","20140903_CRM1","100.24","2203.09799359303"
"20140903_CRM2.csv","20140903_CRM2","100.03","2204.80930944192"
"20140903_Tank4.csv","20140903_Tank4","100.26","2174.32323267563"
"20140903_Tank5.csv","20140903_Tank5","99.6","2164.02267037329"
"20140915_CRM1.csv","20140915_CRM1","99.4","2217.14349338247"
"20140915_CRM2.csv","20140915_CRM2","99.65","2207.38194292626"
"20140915_Tank4.csv","20140915_Tank4","99.95","2127.06762337719"
"20140915_Tank5.csv","20140915_Tank5","99.27","2133.98302107138"
"20141014_CRM1.csv","20141014_CRM1","99.8","2205.92306872096"
"20141014_CRM2.csv","20141014_CRM2","100.47","2206.54488092125"
"20141014_Tank4.csv","20141014_Tank4","100.26","2152.83714304483"
"20141014_Tank5.csv","20141014_Tank5","99.13","2137.67725491487"
"20141022_CRM1.csv","20141022_CRM1","100.03","2196.80633200208"
"20141022_CRM2.csv","20141022_CRM2","100.34","2163.45111514361"
"20141022_CRM3.csv","20141022_CRM3","100.68","2199.37166936032"
"20141022_CRM4.csv","20141022_CRM4","100.35","2193.48760220221"
"20141022_Tank4.csv","20141022_Tank4","101.62","2119.57168370786"
"20141022_Tank5.csv","20141022_Tank5","100.18","2137.41725850617"
"20141114_CRM3.csv","20141114_CRM3","99.95","2187.42445474736"
"20141114_Tank4.csv","20141114_Tank4","99.98","2172.78838985668"
"20141114_Tank5.csv","20141114_Tank5","100","2175.79745377658"
"20141201_CRM2.csv","20141201_CRM2","99.66","2194.25432788134"
"20141201_Tank4.csv","20141201_Tank4","99.48","2164.6393138241"
"20141201_Tank5.csv","20141201_Tank5","99.41","2160.83122831906"
"20141218_CRM3.csv","20141218_CRM3","99.56","2212.24618613638"
"20141218_Tank4.csv","20141218_Tank4","99.63","2169.51707914933"
"20141218_Tank5.csv","20141218_Tank5","100","2169.21794966721"
